group-i/user1,0
group-i/user1,255
group-i/user1,0
group-i/user1,0
group-i/user1,-2
group-i/user1,2
group-i/user1,0
group-i/user1,14
group-i/user1,139
group-i/user2,1507
group-i/user2,887
group-i/user1,0
group-i/user1,0
group-i/user2,57
group-i/user1,6
group-i/user1,0
group-i/user1,0
group-i/user1,0
group-i/user1,0
group-i/user1,8
group-i/user1,-6
group-i/user5,0
group-i/user5,1
group-i/user4,0
group-i/user4,53
group-i/user2,-26
group-i/user5,162
group-i/user4,-186
group-i/user2,148
group-i/user4,38
group-i/user5,59
group-i/user1,94
group-i/user1,-1
group-i/user1,615
group-i/user2,1
group-i/user2,-18
group-i/user2,25
group-i/user4,190
group-i/user5,0
group-i/user2,-1
group-i/user1,24
group-i/user2,48
group-i/user1,143
group-i/user1,12
group-i/user4,154
group-i/user1,30
group-i/user6,141
group-i/user2,16
group-i/user1,9
group-i/user6,895
group-i/user2,0
group-i/user2,111
group-i/user5,-1
group-i/user5,1
group-i/user1,0
group-i/user1,0
group-i/user5,-4
group-i/user5,4
group-i/user1,4
group-i/user1,26
group-i/user2,6
group-i/user2,-6
group-i/user2,0
group-i/user2,4
group-i/user2,6
group-i/user2,4
group-i/user2,-5
group-i/user1,31
group-i/user1,3
group-i/user1,72
group-i/user5,0
group-i/user5,3
group-i/user1,0
group-i/user1,0
group-i/user1,0
group-i/user1,6
group-i/user1,6
